backers_count,blurb,country,country_displayable_name,created_at,currency,currency_symbol,currency_trailing_code,current_currency,deadline,disable_communication,friends,fx_rate,goal,id,is_backing,is_starrable,is_starred,launched_at,name,pledged,slug,spotlight,staff_pick,state,state_changed_at,static_usd_rate,usd_pledged,usd_type,blurb_len,is_successful,is_failed,is_live,create_year,create_month,create_day,launch_year,launch_month,launch_day,deadline_year,deadline_month,deadline_day,state_change_year,state_change_month,state_change_day,backing_days,is_spotlight,is_staff_pick
51,The Ultimate Everyday Leather Bags made from the Finest Natural Leather! #GoGreen,SG,Singapore,2018-05-12 06:21:59,SGD,$,True,USD,2018-07-31 15:00:00,False,,0.73067368,10000.0,1239598045,,False,,2018-06-29 16:18:53,accessories,11603.0,fashion,True,False,successful,2018-07-31 15:00:00,0.73128763,8485.130371,domestic,12,1,0,0,2018,5,12,2018,6,29,2018,7,31,2018,7,31,31,1,0
1505,Introducing---- Not your average Cool & Fresh Peppermint Tech Undies.,US,the United States,2018-01-24 20:03:01,USD,$,True,USD,2018-09-21 15:57:01,False,,1.0,30000.0,1866306332,,False,,2018-07-24 15:57:01,fashion,112503.0,fashion,True,False,successful,2018-09-21 15:57:01,1.0,112503.0,domestic,10,1,0,0,2018,1,24,2018,7,24,2018,9,21,2018,9,21,59,1,0
12,"We are the magazine that started the flash fiction revolution. Before us, flash was just a good idea. Now, it's almost mainstream.",US,the United States,2013-08-19 20:04:03,USD,$,True,USD,2013-09-21 16:32:24,False,,1.0,500.0,281647506,,False,,2013-08-22 16:32:24,periodicals,375.0,publishing,False,False,failed,2013-09-21 16:32:24,1.0,375.0,domestic,22,0,1,0,2013,8,19,2013,8,22,2013,9,21,2013,9,21,30,0,0
1,A fresh and inspirational music studio space for Cardiff.,GB,the United Kingdom,2019-08-20 14:39:59,GBP,£,False,USD,2019-10-19 15:56:51,False,,1.28212032,2000.0,364238186,,True,,2019-08-20 15:56:51,music,1.0,music,False,False,live,2019-08-20 15:56:51,1.21546558,1.21546558,international,9,0,0,1,2019,8,20,2019,8,20,2019,10,19,2019,8,20,60,0,0
34,A revolutionary wearable device protecting against air pollution. A sleek and comfortable alternative to face masks.,US,the United States,2018-02-19 23:18:32,USD,$,True,USD,2018-06-08 00:42:09,False,,1.0,4000.0,2091905861,,False,,2018-05-09 00:42:09,wearables,3798.0,technology,False,False,failed,2018-06-08 00:42:10,1.0,3798.0,domestic,16,0,1,0,2018,2,19,2018,5,9,2018,6,8,2018,6,8,30,0,0
18,It's so light you won't even notice. The Explorer Edition Wooden Watch Series made with 100% natural wood and genuine leather straps.,US,the United States,2018-08-08 02:20:54,USD,$,True,USD,2019-11-04 20:28:01,False,,1.0,4885.0,784670917,,True,,2019-09-05 19:28:01,ready-to-wear,1874.0,fashion,False,False,live,2019-09-05 19:28:02,1.0,1874.0,domestic,22,0,0,1,2018,8,8,2019,9,5,2019,11,4,2019,9,5,60,0,0
20,An album of original worship songs and hard fought lessons on the intersection of spiritual and physical.,US,the United States,2019-08-05 13:50:14,USD,$,True,USD,2019-09-07 13:44:22,False,,1.0,2000.0,1372563502,,False,,2019-08-08 13:44:22,faith,2010.0,music,True,False,successful,2019-09-07 13:44:22,1.0,2010.0,international,17,1,0,0,2019,8,5,2019,8,8,2019,9,7,2019,9,7,30,1,0
28,Demonworld Miniatures Isthak Army Book for 3rd edition.,US,the United States,2018-11-09 21:00:19,USD,$,True,USD,2019-05-29 13:10:27,False,,1.0,1000.0,1977071468,,False,,2019-04-29 13:10:27,tabletop games,1324.0,games,True,False,successful,2019-05-29 13:10:28,1.0,1324.0,international,8,1,0,0,2018,11,9,2019,4,29,2019,5,29,2019,5,29,30,1,0
60,Help Texas natives 'NeonNoah' record their EP.,US,the United States,2014-04-20 05:20:36,USD,$,True,USD,2014-11-08 19:13:10,False,,1.0,1500.0,131603027,,False,,2014-10-14 18:13:10,indie rock,1655.0,music,True,False,successful,2014-11-08 19:13:10,1.0,1655.0,international,7,1,0,0,2014,4,20,2014,10,14,2014,11,8,2014,11,8,25,1,0
76,A short science fiction film about a teenage slacker who accidentally activates a space age reactor in his microwave.,GB,the United Kingdom,2018-01-08 15:56:13,GBP,£,False,USD,2018-10-28 10:30:50,False,,1.28212032,10000.0,1524456263,,False,,2018-09-28 10:30:50,shorts,10396.0,film & video,True,False,successful,2018-10-28 10:30:50,1.31547445,13675.672380000002,domestic,19,1,0,0,2018,1,8,2018,9,28,2018,10,28,2018,10,28,30,1,0
